case: pglib_opf_case57_ieee.mat, iter: 100, n: 10, a1,a2: 0.2,0.2 omega: 0.5

iter, bestFitness
0, 60.74172710735495
1, 59.3156166701218
2, 58.38124761323836
3, 53.665070446044716
4, 50.97899672551342
5, 39.5412478083218
6, 37.14031724480225
7, 34.52343858111103
8, 33.7403799467981
9, 33.01441394462477
10, 32.85952945326735
11, 32.111071779127656
12, 31.983938010590933
13, 31.921132433444768
14, 31.88991980805185
15, 31.874361015743677
16, 31.86659349713787
17, 31.862712706904578
18, 31.860773054015255
19, 31.85980341312188
20, 31.859318639063012
21, 31.859076263630474
22, 31.858955078812716
23, 31.858894487129355
24, 31.858864191468427
25, 31.85884904368376
26, 31.85884146980242
27, 31.85883768286431
28, 31.85883578939642
29, 31.85883484266268
30, 31.858834369295728
31, 31.858834132612202
32, 31.85883401427047
33, 31.858833955099968
34, 31.8588339255143
35, 31.8588339107214
36, 31.858833903325056
37, 31.858833899626905
38, 31.858833897778368
39, 31.85883389685325
40, 31.85883389639134
41, 31.858833896160075
42, 31.858833896044334
43, 31.858833895986677
44, 31.85883389595801
45, 31.858833895942734
46, 31.85883389593599
47, 31.858833895932253
48, 31.858833895930292
49, 31.858833895929518
50, 31.85883389592898
51, 31.85883389592898
52, 31.85883389592885
53, 31.858833895928527
54, 31.858833895928527
55, 31.858833895928527
56, 31.858833895928527
57, 31.858833895928527
58, 31.858833895928527
59, 31.858833895928527
60, 31.858833895928527
61, 31.858833895928527
62, 31.858833895928527
63, 31.858833895928527
64, 31.858833895928527
65, 31.858833895928527
66, 31.858833895928527
67, 31.858833895928527
68, 31.858833895928527
69, 31.858833895928527
70, 31.858833895928527
71, 31.858833895928527
72, 31.858833895928527
73, 31.858833895928527
74, 31.858833895928527
75, 31.858833895928527
76, 31.858833895928527
77, 31.858833895928527
78, 31.858833895928527
79, 31.858833895928527
80, 31.858833895928527
81, 31.858833895928527
82, 31.858833895928527
83, 31.858833895928527
84, 31.858833895928527
85, 31.858833895928527
86, 31.858833895928527
87, 31.858833895928527
88, 31.858833895928527
89, 31.858833895928527
90, 31.858833895928527
91, 31.858833895928527
92, 31.858833895928527
93, 31.858833895928527
94, 31.858833895928527
95, 31.858833895928527
96, 31.858833895928527
97, 31.858833895928527
98, 31.858833895928527
99, 31.858833895928527


 Best Position 
0       0.000000
1      31.824043
2       0.000000
3     594.194963
4       0.000000
5     269.267199
6       1.015069
7       1.008006
8       0.996825
9       1.010884
10      1.009960
11      0.999123
12      1.000000
13      0.000000
14      2.000000
15      0.000000
16     -1.000000
17      0.000000
18     -0.000000
19     -1.000000
20     -1.000000
21     -1.000000
22     -2.000000
23      1.000000
24     -1.000000
25      1.000000
26      1.000000
27      1.000000
28      3.000000
29      1.000000
Name: 2, dtype: float64
